run_id,machine_id,product_name,start_time,end_time,units_produced,units_defective
1,1,Product-4,2026-08-04T09:45:02.116993,2026-08-04T11:54:51.959114,298,4
2,1,Product-4,2026-08-02T19:55:15.105059,2026-08-02T22:55:59.993336,316,7
3,1,Product-2,2026-08-11T02:14:29.166765,2026-08-11T03:29:59.582266,73,1
4,1,Product-4,2026-08-06T13:04:50.401444,2026-08-06T15:41:53.758070,358,2
5,1,Product-4,2026-07-18T04:44:32.407244,2026-07-18T06:18:09.839656,459,13
6,1,Product-3,2026-07-18T02:11:32.415103,2026-07-18T05:05:55.282564,216,1
7,1,Product-3,2026-07-18T17:08:17.232753,2026-07-18T19:42:26.200979,245,4
8,1,Product-5,2026-08-12T21:06:15.557638,2026-08-13T00:46:52.833750,86,1
9,1,Product-4,2026-08-03T02:00:52.300192,2026-08-03T03:35:55.381419,166,1
10,1,Product-1,2026-07-19T10:36:42.224160,2026-07-19T11:54:58.642183,269,11
11,1,Product-1,2026-08-09T02:30:15.589268,2026-08-09T03:47:54.899703,121,2
12,1,Product-5,2026-07-18T20:58:56.356417,2026-07-19T00:57:47.456742,199,8
13,1,Product-1,2026-08-01T08:06:21.173071,2026-08-01T10:46:41.151558,104,3
14,1,Product-3,2026-07-25T22:26:03.038701,2026-07-26T00:37:43.962468,463,13
15,1,Product-1,2026-08-06T07:43:41.230184,2026-08-06T09:16:07.811285,138,6
16,1,Product-4,2026-07-24T06:45:54.190453,2026-07-24T08:51:17.359141,378,5
17,1,Product-3,2026-07-24T01:23:47.338522,2026-07-24T03:01:48.121361,445,20
18,1,Product-2,2026-07-26T21:11:21.522065,2026-07-27T00:36:12.938291,406,14
19,1,Product-3,2026-07-20T22:09:50.338132,2026-07-21T00:29:58.064795,174,6
20,1,Product-1,2026-07-26T16:18:05.361038,2026-07-26T17:38:48.635240,252,9
21,2,Product-4,2026-07-16T22:55:22.457752,2026-07-17T00:26:46.884068,438,3
22,2,Product-4,2026-08-02T12:06:23.310334,2026-08-02T15:55:00.950896,269,2
23,2,Product-1,2026-07-21T23:20:02.193700,2026-07-22T01:29:28.643103,123,0
24,2,Product-2,2026-07-24T23:56:27.189383,2026-07-25T03:32:11.710140,207,6
25,2,Product-4,2026-08-03T03:20:37.101201,2026-08-03T06:09:17.752908,373,6
26,2,Product-3,2026-08-02T22:46:11.554805,2026-08-02T23:59:10.091277,65,3
27,2,Product-5,2026-07-22T07:03:26.333024,2026-07-22T09:35:14.906104,238,11
28,2,Product-3,2026-08-07T04:52:24.261401,2026-08-07T07:00:32.457322,127,3
29,2,Product-3,2026-08-03T07:59:37.496134,2026-08-03T10:47:06.098155,112,1
30,2,Product-2,2026-08-07T14:24:58.646208,2026-08-07T17:27:28.805388,251,8
31,2,Product-2,2026-07-27T23:31:15.440486,2026-07-28T03:27:47.845886,234,8
32,2,Product-3,2026-08-02T00:00:30.225374,2026-08-02T03:26:23.348786,120,4
33,2,Product-3,2026-07-28T21:33:57.508325,2026-07-29T01:32:32.415357,378,10
34,2,Product-2,2026-07-30T15:32:40.876692,2026-07-30T19:08:29.203011,489,7
35,2,Product-5,2026-08-11T23:32:22.920711,2026-08-12T01:45:23.231523,361,1
36,2,Product-3,2026-07-20T01:56:06.833579,2026-07-20T05:00:48.460694,395,1
37,2,Product-2,2026-08-10T20:40:36.479190,2026-08-10T23:59:07.809425,431,6
38,2,Product-5,2026-08-07T05:02:43.417614,2026-08-07T08:38:39.316081,279,12
39,2,Product-1,2026-07-27T21:54:34.121805,2026-07-28T01:13:16.016084,413,1
40,2,Product-4,2026-08-10T18:20:30.569431,2026-08-10T21:41:48.572304,116,0
41,3,Product-1,2026-07-20T01:12:05.481996,2026-07-20T03:34:16.883622,352,4
42,3,Product-5,2026-07-27T16:24:31.331968,2026-07-27T19:13:55.534835,394,17
43,3,Product-3,2026-07-27T03:14:38.007751,2026-07-27T05:01:22.001946,172,2
44,3,Product-2,2026-08-05T16:56:21.717741,2026-08-05T18:56:23.548827,331,16
45,3,Product-3,2026-08-13T10:15:37.421302,2026-08-13T12:57:23.837348,72,0
46,3,Product-5,2026-07-27T10:16:13.869569,2026-07-27T13:11:06.897410,304,12
47,3,Product-1,2026-07-21T01:25:01.182781,2026-07-21T04:11:04.577180,270,2
48,3,Product-4,2026-07-31T09:23:42.940318,2026-07-31T11:19:45.825713,415,10
49,3,Product-4,2026-08-07T05:45:45.889545,2026-08-07T08:13:24.653633,286,6
50,3,Product-1,2026-07-29T13:49:03.796026,2026-07-29T15:18:49.574548,123,3
51,3,Product-5,2026-07-31T17:25:44.843882,2026-07-31T20:24:33.626296,294,5
52,3,Product-4,2026-07-21T06:30:33.340361,2026-07-21T10:10:38.346473,451,20
53,3,Product-5,2026-07-29T12:52:14.247011,2026-07-29T14:37:17.870793,245,2
54,3,Product-4,2026-07-17T04:02:53.343163,2026-07-17T05:29:45.418614,158,5
55,3,Product-3,2026-08-03T00:51:04.108909,2026-08-03T04:48:31.621819,450,7
56,3,Product-2,2026-07-22T12:22:03.132005,2026-07-22T14:42:57.259910,169,6
57,3,Product-1,2026-07-17T15:00:53.946578,2026-07-17T16:25:45.482056,119,4
58,3,Product-4,2026-08-08T06:47:50.997242,2026-08-08T07:57:28.354484,106,0
59,3,Product-1,2026-08-11T04:32:50.579712,2026-08-11T06:12:05.518277,284,11
60,3,Product-3,2026-08-11T16:41:07.396755,2026-08-11T20:27:01.069856,170,2
61,4,Product-4,2026-08-05T07:10:19.142569,2026-08-05T10:57:34.589960,57,1
62,4,Product-5,2026-08-08T01:04:42.899592,2026-08-08T03:15:47.326999,133,2
63,4,Product-3,2026-07-30T19:27:47.249529,2026-07-30T22:06:18.916031,122,4
64,4,Product-1,2026-07-31T15:35:03.260431,2026-07-31T16:56:06.801193,90,1
65,4,Product-2,2026-08-03T05:30:23.389611,2026-08-03T08:53:29.290846,330,0
66,4,Product-1,2026-08-08T20:53:26.795241,2026-08-08T22:36:35.001641,385,15
67,4,Product-4,2026-07-17T17:19:28.634767,2026-07-17T18:45:59.946602,470,5
68,4,Product-4,2026-07-15T03:50:06.472251,2026-07-15T06:43:09.517017,463,7
69,4,Product-2,2026-07-23T07:19:13.586406,2026-07-23T09:57:38.671784,118,1
70,4,Product-3,2026-08-11T22:07:54.695596,2026-08-12T01:32:01.778818,143,5
71,4,Product-2,2026-07-31T09:26:39.410529,2026-07-31T13:16:12.794932,253,6
72,4,Product-2,2026-07-18T13:08:36.146469,2026-07-18T16:42:46.821138,161,1
73,4,Product-1,2026-08-03T14:48:32.054566,2026-08-03T17:21:00.180894,322,15
74,4,Product-1,2026-08-01T15:03:26.968198,2026-08-01T18:34:19.972589,134,3
75,4,Product-5,2026-08-11T02:10:46.222110,2026-08-11T04:57:21.642635,257,8
76,4,Product-2,2026-07-30T18:34:55.083807,2026-07-30T21:51:00.640728,424,6
77,4,Product-2,2026-08-02T09:28:00.116655,2026-08-02T12:52:23.435732,177,7
78,4,Product-5,2026-07-20T12:03:06.949011,2026-07-20T15:58:54.504403,201,2
79,4,Product-3,2026-08-03T11:14:58.620768,2026-08-03T13:19:19.654178,446,7
80,4,Product-1,2026-07-17T06:03:42.369200,2026-07-17T09:58:58.450077,451,7
81,5,Product-4,2026-07-31T12:39:09.700435,2026-07-31T15:03:42.899926,55,0
82,5,Product-2,2026-07-19T10:48:31.858434,2026-07-19T11:53:21.607060,136,0
83,5,Product-5,2026-07-18T21:28:50.316866,2026-07-19T00:11:34.619575,476,6
84,5,Product-1,2026-07-25T21:33:49.967711,2026-07-25T23:30:57.973084,255,6
85,5,Product-5,2026-07-21T17:02:50.673388,2026-07-21T19:46:38.575596,380,17
86,5,Product-3,2026-07-30T19:54:38.721331,2026-07-30T23:18:03.049681,139,5
87,5,Product-5,2026-07-24T06:17:46.908742,2026-07-24T08:17:41.331442,169,6
88,5,Product-2,2026-07-24T07:09:55.971868,2026-07-24T10:18:56.831713,464,2
89,5,Product-5,2026-08-12T02:55:25.595999,2026-08-12T05:10:55.819659,497,21
