defect_id,run_id,defect_type,severity,timestamp
1,1,Scratch,medium,2026-08-04T10:21:36.229982
2,2,Scratch,low,2026-08-02T20:32:48.348221
3,2,Cracked,high,2026-08-02T20:07:12.887152
4,2,Scratch,low,2026-08-02T20:54:49.975586
5,3,Missing Part,medium,2026-08-11T03:00:00.387845
6,4,Cracked,low,2026-08-06T13:21:55.287110
7,5,Scratch,high,2026-07-18T05:03:08.756919
8,6,Cracked,medium,2026-07-18T02:40:38.089657
9,7,Scratch,high,2026-07-18T17:22:57.986431
10,7,Cracked,medium,2026-07-18T17:29:59.416077
11,7,Scratch,high,2026-07-18T17:25:44.530509
12,7,Cracked,low,2026-07-18T17:49:42.458323
13,8,Missing Part,high,2026-08-12T22:00:22.481651
14,9,Cracked,low,2026-08-03T02:53:46.688241
15,10,Cracked,high,2026-07-19T11:09:24.287522
16,10,Alignment,low,2026-07-19T11:31:21.143467
17,10,Alignment,low,2026-07-19T10:57:06.114444
18,10,Missing Part,medium,2026-07-19T11:27:16.712413
19,10,Cracked,medium,2026-07-19T10:55:35.457145
20,11,Cracked,high,2026-08-09T02:54:40.391814
21,11,Alignment,high,2026-08-09T03:27:13.545442
22,12,Scratch,low,2026-07-18T21:51:43.152001
23,12,Scratch,low,2026-07-18T21:22:13.005668
24,12,Missing Part,medium,2026-07-18T21:13:37.458813
25,12,Cracked,medium,2026-07-18T21:54:53.174643
26,13,Alignment,high,2026-08-01T08:43:57.295059
27,14,Missing Part,low,2026-07-25T23:14:26.909832
28,14,Cracked,low,2026-07-25T23:17:31.547567
29,15,Scratch,medium,2026-08-06T07:56:34.021221
30,15,Alignment,medium,2026-08-06T07:57:41.694434
31,15,Cracked,high,2026-08-06T08:29:49.038622
32,16,Alignment,medium,2026-07-24T07:03:55.498984
33,16,Scratch,low,2026-07-24T07:45:16.886445
34,16,Scratch,low,2026-07-24T07:01:48.400084
35,17,Missing Part,high,2026-07-24T02:17:30.522550
36,18,Scratch,low,2026-07-26T21:50:07.249130
37,18,Scratch,low,2026-07-26T22:10:14.612876
38,19,Cracked,low,2026-07-20T22:21:23.872213
39,19,Cracked,low,2026-07-20T22:24:36.760804
40,19,Alignment,high,2026-07-20T23:05:08.681043
41,20,Scratch,medium,2026-07-26T17:05:06.031644
42,20,Cracked,high,2026-07-26T16:49:52.449219
43,20,Missing Part,medium,2026-07-26T16:38:16.958434
44,20,Cracked,medium,2026-07-26T16:58:49.935761
45,21,Scratch,medium,2026-07-16T23:38:07.240876
46,21,Cracked,high,2026-07-16T23:45:07.210229
47,22,Cracked,low,2026-08-02T12:21:09.060113
