event_id,machine_id,reason,start_time,end_time
1,1,Motor Failure,2026-08-06T09:44:17.678119,2026-08-06T14:35:32.012933
2,1,Calibration,2026-07-16T17:48:07.412958,2026-07-16T19:44:53.887650
3,2,Jammed part,2026-07-17T18:08:49.995039,2026-07-17T20:38:13.608369
4,2,Overheating,2026-07-15T01:38:56.493697,2026-07-15T06:28:32.481324
5,3,Jammed part,2026-07-21T03:47:01.812867,2026-07-21T07:56:18.148473
6,3,Overheating,2026-07-18T10:58:16.968618,2026-07-18T12:07:50.529761
7,3,Jammed part,2026-08-09T12:05:26.098102,2026-08-09T14:38:31.932392
8,4,Overheating,2026-08-05T13:07:20.112402,2026-08-05T18:09:46.890792
9,4,Motor Failure,2026-08-10T03:14:28.714118,2026-08-10T07:45:42.257395
10,5,Calibration,2026-07-19T03:37:18.729612,2026-07-19T04:38:12.247625
11,5,Jammed part,2026-08-09T15:21:35.916233,2026-08-09T20:19:44.740413
12,5,Overheating,2026-07-23T18:38:24.702757,2026-07-23T22:32:52.281584
13,6,Overheating,2026-07-20T14:12:01.431906,2026-07-20T19:10:06.268060
14,6,Overheating,2026-07-19T03:30:19.434060,2026-07-19T05:39:45.282007
15,6,Motor Failure,2026-07-17T23:45:19.050441,2026-07-18T01:41:38.753773
